id,name,X,Y
13458,McDonald's Restaurant,"528653","191808"
13463,Kaipiras,"525198","183980"
13465,Tony & Maria,"509088","195153"
13466,Royal China Restaurant,"528092","181486"
13473,Frankie & Benny's,"535808","179178"
13697,Laiki Taverna,"530944","191728"
13783,Apostles Bar and Grill,"523383","169282"
14788,Heston West Service Area,"511446","177847"
14789,Welcome Break (South Mimms),"523020","200247"
61940,Burger King Ltd,"559428","193779"
61956,Barrel & Stone,"531355","182135"
61958,Mini Dutch Pancakes,"529011","181175"
61964,The Pizza Room,"536978","177019"
61971,Kroky Covrigi Calzi,"520312","190742"
61993,Riice Asian Kitchen,"532435","181001"
62015,Refreshments Ice Cream Crepes,"528685","181176"
62020,Herman Ze German,"523073","180931"
62036,The Detox Kitchen,"529281","181607"
62044,Grab A Bite,"536187","176963"
62046,Sensations,"530816","185662"
62068,Take Away Food,"540532","190044"
62080,M&S Food to Go,"526049","163845"
62087,Grab A Bite,"523163","179975"
